English Word	Valence	Arousal	Dominance	Urdu Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	حیران
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	ابالون
abandon	0.052	0.519	0.245	ترک کرنا
abandoned	0.046	0.481	0.130	چھوڑ دیا
abandonment	0.128	0.430	0.202	دستبرداری
abashed	0.177	0.644	0.307	شرمندہ
abate	0.255	0.696	0.604	کم کرنا
abatement	0.388	0.338	0.336	تخفیف
abba	0.562	0.500	0.480	ابا
abbey	0.580	0.367	0.444	ابی
abbot	0.427	0.321	0.483	مٹھائی
abbreviate	0.531	0.375	0.330	مختصر
abbreviation	0.469	0.306	0.345	مخفف
abdomen	0.469	0.462	0.471	پیٹ
abdominal	0.490	0.456	0.445	پیٹ
abduct	0.173	0.720	0.615	اغوا
abduction	0.062	0.990	0.673	اغوا
aberrant	0.146	0.765	0.431	ناگوار
aberration	0.125	0.816	0.417	خرابی
abeyance	0.330	0.510	0.292	تعطل
abhor	0.125	0.602	0.349	نفرت
abhorrence	0.167	0.684	0.420	نفرت
abhorrent	0.229	0.750	0.474	مکروہ
abide	0.635	0.354	0.705	رہنا
abiding	0.796	0.327	0.750	برقرار
ability	0.875	0.510	0.816	صلاحیت
abject	0.354	0.590	0.417	حقیر
ablation	0.418	0.500	0.500	خاتمہ
ablaze	0.240	0.847	0.525	آگ لگانا
able	0.786	0.500	0.810	قابل
abnormal	0.137	0.604	0.309	غیر معمولی
abnormality	0.092	0.655	0.383	غیر معمولی پن
aboard	0.698	0.284	0.481	جہاز میں
abode	0.620	0.302	0.500	رہائش
abolish	0.448	0.615	0.529	خاتمہ کرنا
abolition	0.323	0.690	0.529	خاتمہ
abominable	0.120	0.731	0.482	مکروہ
abominate	0.198	0.788	0.366	مکروہ
abomination	0.078	0.755	0.518	مکروہ
aboriginal	0.448	0.427	0.542	مقامی
abort	0.153	0.686	0.429	اسقاط حمل
abortion	0.082	0.770	0.283	اسقاط حمل
abortive	0.090	0.776	0.280	اسقاط حمل
abound	0.704	0.490	0.681	بہتات ہونا
abovementioned	0.541	0.298	0.509	مذکورہ بالا
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	گھرشن
abrasive	0.392	0.610	0.593	کھرچنے والا
abreast	0.635	0.380	0.519	برابر
abroad	0.677	0.596	0.561	بیرون ملک
abrogate	0.327	0.510	0.594	منسوخ کرنا
abrupt	0.271	0.819	0.545	اچانک
abruptly	0.250	0.808	0.556	اچانک
abscess	0.154	0.451	0.349	پھوڑا
absence	0.153	0.235	0.266	عدم موجودگی
absent	0.177	0.221	0.116	غیر حاضر
absentee	0.235	0.330	0.279	غیر حاضری
absenteeism	0.404	0.273	0.357	غیر حاضری
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	مطلق
absolution	0.715	0.500	0.664	معافی
absolve	0.684	0.449	0.660	معاف کرنا
absorb	0.469	0.558	0.670	جذب
absorbed	0.490	0.471	0.519	جذب
absorbent	0.552	0.394	0.718	جاذب
absorbing	0.490	0.490	0.578	جذب کرنے والا
absorption	0.609	0.422	0.446	جذب
abstain	0.385	0.385	0.427	پرہیز
abstention	0.271	0.264	0.509	پرہیز
abstinence	0.260	0.392	0.429	پرہیز
abstract	0.438	0.292	0.444	خلاصہ
abstraction	0.469	0.439	0.525	تجری
absurd	0.188	0.656	0.284	مضحکہ خیز
absurdity	0.115	0.528	0.227	بیہودگی
abundance	0.812	0.690	0.852	کثرت
abundant	0.958	0.590	0.760	وافر
abuse	0.071	0.873	0.469	بدسلوکی
abused	0.021	0.874	0.235	زیادتی
abusive	0.125	0.903	0.567	بدسلوکی
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	ابی
abysmal	0.250	0.710	0.598	غیر معمولی
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	تعلیمی
academy	0.704	0.473	0.792	اکیڈمی
accede	0.698	0.510	0.537	تسلیم کرنا
accelerant	0.643	0.844	0.802	تیز کرنے والا
accelerate	0.615	0.902	0.759	تیز کرنا
accelerated	0.610	0.812	0.682	تیز
acceleration	0.704	0.905	0.843	ایکسلریشن
accelerator	0.593	0.830	0.812	ایکسلریٹر
accent	0.598	0.357	0.509	لہجہ
accentuate	0.673	0.556	0.667	زور دینا
accept	0.847	0.286	0.565	قبول کریں
acceptable	0.812	0.286	0.583	قابل قبول
acceptance	0.833	0.287	0.755	قبولیت
acceptances	0.847	0.413	0.648	قبولیت
access	0.714	0.472	0.567	رسائی
accessible	0.796	0.410	0.645	قابل رسائی
accession	0.612	0.383	0.636	الحاق
accessory	0.562	0.292	0.445	لوازمات
accident	0.125	0.908	0.336	حادثہ
accidental	0.319	0.784	0.307	حادثاتی
accidentally	0.333	0.741	0.333	اتفاقی طور پر
acclaim	0.562	0.809	0.718	تعریف
accolade	0.688	0.591	0.775	تعریف
accommodate	0.844	0.375	0.566	ایڈجسٹ
accommodation	0.817	0.415	0.587	رہائش
accompaniment	0.740	0.479	0.695	ساتھ
accompany	0.833	0.406	0.585	ساتھ
accompanying	0.787	0.460	0.582	ساتھ
accomplice	0.408	0.580	0.510	ساتھی
accomplish	0.929	0.673	0.816	پورا
accomplished	0.870	0.520	0.798	مکمل
accomplishment	0.917	0.694	0.888	کامیابی
accord	0.898	0.264	0.382	معاہدہ
accordance	0.659	0.349	0.600	کے مطابق
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	کھاتہ
accountability	0.755	0.537	0.833	احتساب
accountable	0.709	0.282	0.777	جوابدہ
accountant	0.625	0.450	0.639	اکاؤنٹنٹ
accounting	0.552	0.390	0.677	اکاؤنٹنگ
accounts	0.592	0.340	0.471	اکاؤنٹس
accredited	0.669	0.479	0.768	تسلیم شدہ
accretion	0.448	0.519	0.672	اضافہ
accrue	0.520	0.481	0.602	جمع کرنا
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	جمع کرنا
accumulation	0.479	0.527	0.600	جمع
accuracy	0.604	0.481	0.802	درستگی
accurate	0.743	0.360	0.737	درست
accursed	0.135	0.745	0.345	ملعون
accusation	0.073	0.718	0.564	الزام
accusative	0.198	0.755	0.482	الزام لگانے والا
accuse	0.133	0.752	0.500	الزام لگانا
accused	0.130	0.670	0.420	ملزم
accuser	0.122	0.779	0.615	الزام لگانے والا
accusing	0.156	0.745	0.324	الزام لگانا
accustomed	0.542	0.365	0.441	عادی
ace	0.643	0.481	0.546	اککا
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	ایسیٹیلین
ache	0.146	0.760	0.312	درد
achieve	0.816	0.545	0.843	حاصل کرنا
