English Word	Valence	Arousal	Dominance	Malay Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	terperanjat
abacus	0.510	0.276	0.485	abakus
abalone	0.500	0.480	0.412	abalon
abandon	0.052	0.519	0.245	tinggalkan
abandoned	0.046	0.481	0.130	terbengkalai
abandonment	0.128	0.430	0.202	pengabaian
abashed	0.177	0.644	0.307	terperanjat
abate	0.255	0.696	0.604	mereda
abatement	0.388	0.338	0.336	pengurangan
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	biara
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	ringkaskan
abbreviation	0.469	0.306	0.345	singkatan
abdomen	0.469	0.462	0.471	perut
abdominal	0.490	0.456	0.445	bahagian perut
abduct	0.173	0.720	0.615	menculik
abduction	0.062	0.990	0.673	penculikan
aberrant	0.146	0.765	0.431	menyimpang
aberration	0.125	0.816	0.417	penyelewengan
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	membenci
abhorrence	0.167	0.684	0.420	kebencian
abhorrent	0.229	0.750	0.474	menjijikkan
abide	0.635	0.354	0.705	akur
abiding	0.796	0.327	0.750	berpegang teguh
ability	0.875	0.510	0.816	kebolehan
abject	0.354	0.590	0.417	hina
ablation	0.418	0.500	0.500	ablasi
ablaze	0.240	0.847	0.525	terbakar
able	0.786	0.500	0.810	mampu
abnormal	0.137	0.604	0.309	tidak normal
abnormality	0.092	0.655	0.383	kelainan
aboard	0.698	0.284	0.481	di atas kapal
abode	0.620	0.302	0.500	tempat tinggal
abolish	0.448	0.615	0.529	mansuhkan
abolition	0.323	0.690	0.529	pemansuhan
abominable	0.120	0.731	0.482	keji
abominate	0.198	0.788	0.366	keji
abomination	0.078	0.755	0.518	kekejian
aboriginal	0.448	0.427	0.542	orang asli
abort	0.153	0.686	0.429	menggugurkan kandungan
abortion	0.082	0.770	0.283	pengguguran
abortive	0.090	0.776	0.280	menggugurkan kandungan
abound	0.704	0.490	0.681	melimpah ruah
abovementioned	0.541	0.298	0.509	Seperti yg diatas
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	melecet
abrasive	0.392	0.610	0.593	melelas
abreast	0.635	0.380	0.519	mengikuti
abroad	0.677	0.596	0.561	luar negara
abrogate	0.327	0.510	0.594	memansuhkan
abrupt	0.271	0.819	0.545	mendadak
abruptly	0.250	0.808	0.556	secara mengejut
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	ketiadaan
absent	0.177	0.221	0.116	tidak hadir
