English Word	Valence	Arousal	Dominance	Lao Word
aaaaaaah	0.479	0.606	0.291	ອ່າວ
aaaah	0.520	0.636	0.282	ອ້າວ
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	ຕົກໃຈ
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	ໝາກເຜັດ
abandon	0.052	0.519	0.245	ປະຖິ້ມ
abandoned	0.046	0.481	0.130	ຖືກປະຖິ້ມ
abandonment	0.128	0.430	0.202	ການປະຖິ້ມ
abashed	0.177	0.644	0.307	ຕົກໃຈ
abate	0.255	0.696	0.604	ຫາຍດີ
abatement	0.388	0.338	0.336	ການ​ຫຼຸດ​ຜ່ອນ​ການ​
abba	0.562	0.500	0.480	ອັບບາ
abbey	0.580	0.367	0.444	ວັດ
abbot	0.427	0.321	0.483	ອະທິການບໍດີ
abbreviate	0.531	0.375	0.330	ຫຍໍ້
abbreviation	0.469	0.306	0.345	ຕົວຫຍໍ້
abdomen	0.469	0.462	0.471	ທ້ອງ
abdominal	0.490	0.456	0.445	ທ້ອງ
abduct	0.173	0.720	0.615	ການລັກພາຕົວ
abduction	0.062	0.990	0.673	ການລັກພາຕົວ
aberrant	0.146	0.765	0.431	ຜິດ​ປົກ​ກະ​ຕິ
aberration	0.125	0.816	0.417	ຄວາມຜິດປົກກະຕິ
abeyance	0.330	0.510	0.292	ການ​ປະ​ຖິ້ມ
abhor	0.125	0.602	0.349	ກຽດຊັງ
abhorrence	0.167	0.684	0.420	ຄວາມກຽດຊັງ
abhorrent	0.229	0.750	0.474	ໜ້າກຽດຊັງ
abide	0.635	0.354	0.705	ຍຶດຖື
abiding	0.796	0.327	0.750	ຄົງຢູ່
ability	0.875	0.510	0.816	ຄວາມສາມາດ
abject	0.354	0.590	0.417	ໃຈຮ້າຍ
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	ໄຟໄໝ້
able	0.786	0.500	0.810	ສາມາດ
abnormal	0.137	0.604	0.309	ຜິດປົກກະຕິ
abnormality	0.092	0.655	0.383	ຜິດປົກກະຕິ
aboard	0.698	0.284	0.481	ຢູ່ເທິງເຮືອ
abode	0.620	0.302	0.500	ທີ່​ອາ​ໄສ
abolish	0.448	0.615	0.529	ຍົກເລີກ
abolition	0.323	0.690	0.529	ການຍົກເລີກ
abominable	0.120	0.731	0.482	ໜ້າລັງກຽດ
abominate	0.198	0.788	0.366	ໜ້າລັງກຽດ
abomination	0.078	0.755	0.518	ໜ້າກຽດຊັງ
aboriginal	0.448	0.427	0.542	ດັ້ງເດີມ
abort	0.153	0.686	0.429	ເອົາລູກອອກ
abortion	0.082	0.770	0.283	ການເອົາລູກອອກ
abortive	0.090	0.776	0.280	ເອົາລູກອອກ
abound	0.704	0.490	0.681	ອຸດົມສົມບູນ
abovementioned	0.541	0.298	0.509	ທີ່ກ່າວມາຂ້າງເທິງ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ການຂັດ
abrasive	0.392	0.610	0.593	ຂັດ
abreast	0.635	0.380	0.519	ທັນ​ທີ​
abroad	0.677	0.596	0.561	ຕ່າງປະເທດ
abrogate	0.327	0.510	0.594	ຍົກເລີກ
abrupt	0.271	0.819	0.545	ກະທັນຫັນ
abruptly	0.250	0.808	0.556	ທັນທີ
abscess	0.154	0.451	0.349	ຝີ
absence	0.153	0.235	0.266	ຂາດ
absent	0.177	0.221	0.116	ຂາດ
absentee	0.235	0.330	0.279	ຂາດ
absenteeism	0.404	0.273	0.357	ຂາດເຂີນ
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ຢ່າງແທ້ຈິງ
absolution	0.715	0.500	0.664	ການລະເລີຍ
absolve	0.684	0.449	0.660	ແກ້​ໄຂ
absorb	0.469	0.558	0.670	ດູດຊຶມ
absorbed	0.490	0.471	0.519	ດູດຊຶມ
absorbent	0.552	0.394	0.718	ດູດຊຶມ
absorbing	0.490	0.490	0.578	ດູດຊຶມ
absorption	0.609	0.422	0.446	ການດູດຊຶມ
abstain	0.385	0.385	0.427	ງົດ
abstention	0.271	0.264	0.509	ການລະເວັ້ນ
abstinence	0.260	0.392	0.429	ການລະເວັ້ນ
abstract	0.438	0.292	0.444	ບົດຄັດຫຍໍ້
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	ໂງ່
absurdity	0.115	0.528	0.227	ໂງ່
abundance	0.812	0.690	0.852	ຄວາມອຸດົມສົມບູນ
abundant	0.958	0.590	0.760	ອຸດົມສົມບູນ
abuse	0.071	0.873	0.469	ການລ່ວງລະເມີດ
abused	0.021	0.874	0.235	ຖືກທາລຸນ
abusive	0.125	0.903	0.567	ລ່ວງລະເມີດ
