English Word	Valence	Arousal	Dominance	Korean Word
aaaaaaah	0.479	0.606	0.291	아아아아아
aaaah	0.520	0.636	0.282	아아아
aardvark	0.427	0.490	0.437	들판
aback	0.385	0.407	0.288	당황
abacus	0.510	0.276	0.485	주판
abalone	0.500	0.480	0.412	전복
abandon	0.052	0.519	0.245	버리다
abandoned	0.046	0.481	0.130	버려진
abandonment	0.128	0.430	0.202	포기
abashed	0.177	0.644	0.307	부끄러워
abate	0.255	0.696	0.604	감소
abatement	0.388	0.338	0.336	감소
abba	0.562	0.500	0.480	아바
abbey	0.580	0.367	0.444	대사원
abbot	0.427	0.321	0.483	대 수도 원장
abbreviate	0.531	0.375	0.330	줄여 쓰다
abbreviation	0.469	0.306	0.345	약어
abdomen	0.469	0.462	0.471	복부
abdominal	0.490	0.456	0.445	복부
abduct	0.173	0.720	0.615	납치
abduction	0.062	0.990	0.673	유 괴
aberrant	0.146	0.765	0.431	이상한
aberration	0.125	0.816	0.417	수차
abeyance	0.330	0.510	0.292	중지
abhor	0.125	0.602	0.349	혐오하다
abhorrence	0.167	0.684	0.420	혐오
abhorrent	0.229	0.750	0.474	혐오스러운
abide	0.635	0.354	0.705	머물다
abiding	0.796	0.327	0.750	버티다
ability	0.875	0.510	0.816	능력
abject	0.354	0.590	0.417	비열한
ablation	0.418	0.500	0.500	제거
ablaze	0.240	0.847	0.525	불타는
able	0.786	0.500	0.810	할 수 있는
abnormal	0.137	0.604	0.309	이상
abnormality	0.092	0.655	0.383	이상
aboard	0.698	0.284	0.481	배로
abode	0.620	0.302	0.500	거처
abolish	0.448	0.615	0.529	폐하다
abolition	0.323	0.690	0.529	폐지
abominable	0.120	0.731	0.482	가증스러운
abominate	0.198	0.788	0.366	가증하다
abomination	0.078	0.755	0.518	질색
aboriginal	0.448	0.427	0.542	원주민
abort	0.153	0.686	0.429	중단하다
abortion	0.082	0.770	0.283	낙태
abortive	0.090	0.776	0.280	낙태
abound	0.704	0.490	0.681	많이 있다
abovementioned	0.541	0.298	0.509	위에서 언급한
abracadabra	0.673	0.632	0.434	헛소리
abrasion	0.406	0.592	0.441	연마
abrasive	0.392	0.610	0.593	연마제
abreast	0.635	0.380	0.519	나란히
abroad	0.677	0.596	0.561	해외에서
abrogate	0.327	0.510	0.594	폐지하다
abrupt	0.271	0.819	0.545	험준한
abruptly	0.250	0.808	0.556	갑자기
abscess	0.154	0.451	0.349	농양
absence	0.153	0.235	0.266	결석
absent	0.177	0.221	0.116	결석
absentee	0.235	0.330	0.279	부재자
absenteeism	0.404	0.273	0.357	장기 결석
absinthe	0.481	0.510	0.462	압생트
absolute	0.526	0.510	0.827	순수한
absolution	0.715	0.500	0.664	사면
absolve	0.684	0.449	0.660	사면하다
absorb	0.469	0.558	0.670	흡수하다
absorbed	0.490	0.471	0.519	흡수
absorbent	0.552	0.394	0.718	흡착제
absorbing	0.490	0.490	0.578	흡수
absorption	0.609	0.422	0.446	흡수
abstain	0.385	0.385	0.427	삼가다
abstention	0.271	0.264	0.509	기권
abstinence	0.260	0.392	0.429	절제
abstract	0.438	0.292	0.444	요약
abstraction	0.469	0.439	0.525	추출
absurd	0.188	0.656	0.284	터무니없는
absurdity	0.115	0.528	0.227	부조리
abundance	0.812	0.690	0.852	풍부
abundant	0.958	0.590	0.760	풍부한
abuse	0.071	0.873	0.469	남용
abused	0.021	0.874	0.235	학대
abusive	0.125	0.903	0.567	남용
abutment	0.500	0.265	0.616	인접
aby	0.385	0.452	0.368	아비
abysmal	0.250	0.710	0.598	심연
abyss	0.353	0.725	0.296	심연
academic	0.781	0.420	0.812	학생
academy	0.704	0.473	0.792	학원
accede	0.698	0.510	0.537	동의하다
accelerant	0.643	0.844	0.802	촉진제
accelerate	0.615	0.902	0.759	가속하다
accelerated	0.610	0.812	0.682	가속
acceleration	0.704	0.905	0.843	가속
accelerator	0.593	0.830	0.812	액셀러레이터
accent	0.598	0.357	0.509	악센트
accentuate	0.673	0.556	0.667	강조하다
accept	0.847	0.286	0.565	동의하기
acceptable	0.812	0.286	0.583	수용 가능한
acceptance	0.833	0.287	0.755	수락
acceptances	0.847	0.413	0.648	수락
access	0.714	0.472	0.567	입장
accessible	0.796	0.410	0.645	얻기 쉬운
accession	0.612	0.383	0.636	가입
accessory	0.562	0.292	0.445	부속물
accident	0.125	0.908	0.336	사고
accidental	0.319	0.784	0.307	우연한
accidentally	0.333	0.741	0.333	우연히
acclaim	0.562	0.809	0.718	환호
accolade	0.688	0.591	0.775	영예
accommodate	0.844	0.375	0.566	수용하다
accommodation	0.817	0.415	0.587	숙소
accompaniment	0.740	0.479	0.695	반주
accompany	0.833	0.406	0.585	동반하다
accompanying	0.787	0.460	0.582	따르는
accomplice	0.408	0.580	0.510	공범자
accomplish	0.929	0.673	0.816	성취하다
accomplished	0.870	0.520	0.798	뛰어난
accomplishment	0.917	0.694	0.888	완수
accord	0.898	0.264	0.382	일치
accordance	0.659	0.349	0.600	일치
accordion	0.604	0.490	0.361	아코디언
account	0.531	0.347	0.472	계정
accountability	0.755	0.537	0.833	책임
accountable	0.709	0.282	0.777	책임 있는
accountant	0.625	0.450	0.639	회계사
accounting	0.552	0.390	0.677	회계
accounts	0.592	0.340	0.471	계정
accredited	0.669	0.479	0.768	공인
accretion	0.448	0.519	0.672	증가
accrue	0.520	0.481	0.602	생기다
accueil	0.450	0.451	0.470	아큐에일
accumulate	0.573	0.536	0.607	축적하다
accumulation	0.479	0.527	0.600	축적
accuracy	0.604	0.481	0.802	정확성
accurate	0.743	0.360	0.737	정확한
accursed	0.135	0.745	0.345	저주 받은
accusation	0.073	0.718	0.564	고발
accusative	0.198	0.755	0.482	대격
accuse	0.133	0.752	0.500	고발하다
accused	0.130	0.670	0.420	고발 당한
accuser	0.122	0.779	0.615	고발인
accusing	0.156	0.745	0.324	고발
accustomed	0.542	0.365	0.441	익숙한
ace	0.643	0.481	0.546	에이스
acetic	0.333	0.420	0.519	초의
acetylene	0.306	0.469	0.509	아세틸렌
ache	0.146	0.760	0.312	아픔
achieve	0.816	0.545	0.843	성취하다
achieved	0.896	0.519	0.775	달성
achievement	0.896	0.808	0.759	성취
aching	0.053	0.880	0.348	아프다
achy	0.167	0.840	0.373	아프다
acid	0.265	0.642	0.566	산
acidity	0.156	0.663	0.360	신맛
acknowledge	0.786	0.370	0.661	인정하다
acknowledged	0.714	0.443	0.765	인정
acknowledgement	0.819	0.539	0.830	승인
acknowledgment	0.796	0.528	0.777	승인
acme	0.408	0.435	0.375	절정
