English Word	Valence	Arousal	Dominance	Ukrainian Word
aaaaaaah	0.479	0.606	0.291	ааааааах
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	мускат
aback	0.385	0.407	0.288	назад
abacus	0.510	0.276	0.485	рахівниця
abalone	0.500	0.480	0.412	морське вушко
abandon	0.052	0.519	0.245	відмовитися
abandoned	0.046	0.481	0.130	покинутий
abandonment	0.128	0.430	0.202	занедбаність
abashed	0.177	0.644	0.307	збентежений
abate	0.255	0.696	0.604	зменшуватися
abatement	0.388	0.338	0.336	зменшення
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	абатство
abbot	0.427	0.321	0.483	настоятель
abbreviate	0.531	0.375	0.330	скорочувати
abbreviation	0.469	0.306	0.345	абревіатура
abdomen	0.469	0.462	0.471	живіт
abdominal	0.490	0.456	0.445	черевний
abduct	0.173	0.720	0.615	викрадати
abduction	0.062	0.990	0.673	викрадення
aberrant	0.146	0.765	0.431	ненормальний
aberration	0.125	0.816	0.417	аберація
abeyance	0.330	0.510	0.292	бездіяльність
abhor	0.125	0.602	0.349	ненавидіти
abhorrence	0.167	0.684	0.420	відраза
abhorrent	0.229	0.750	0.474	огидний
abide	0.635	0.354	0.705	дотримуватися
abiding	0.796	0.327	0.750	дотримання
ability	0.875	0.510	0.816	здатність
abject	0.354	0.590	0.417	жалюгідний
ablation	0.418	0.500	0.500	абляція
ablaze	0.240	0.847	0.525	палаючий
able	0.786	0.500	0.810	здатний
abnormal	0.137	0.604	0.309	аномальний
abnormality	0.092	0.655	0.383	аномалія
aboard	0.698	0.284	0.481	на борту
abode	0.620	0.302	0.500	місце проживання
abolish	0.448	0.615	0.529	скасувати
abolition	0.323	0.690	0.529	скасування
abominable	0.120	0.731	0.482	огидний
abominate	0.198	0.788	0.366	огидний
abomination	0.078	0.755	0.518	гидота
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	перервати
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	абортивний
abound	0.704	0.490	0.681	рясніють
abovementioned	0.541	0.298	0.509	вищезазначений
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	стирання
abrasive	0.392	0.610	0.593	абразивний
abreast	0.635	0.380	0.519	в ряд
abroad	0.677	0.596	0.561	за кордоном
abrogate	0.327	0.510	0.594	скасувати
abrupt	0.271	0.819	0.545	різкий
abruptly	0.250	0.808	0.556	різко
abscess	0.154	0.451	0.349	абсцес
absence	0.153	0.235	0.266	відсутність
absent	0.177	0.221	0.116	відсутній
absentee	0.235	0.330	0.279	заочний
absenteeism	0.404	0.273	0.357	прогули
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	абсолютний
absolution	0.715	0.500	0.664	відпущення гріхів
absolve	0.684	0.449	0.660	звільняти
absorb	0.469	0.558	0.670	поглинати
absorbed	0.490	0.471	0.519	поглинається
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	поглинаючий
absorption	0.609	0.422	0.446	поглинання
abstain	0.385	0.385	0.427	утриматись
abstention	0.271	0.264	0.509	утримання
abstinence	0.260	0.392	0.429	утримання
abstract	0.438	0.292	0.444	анотація
abstraction	0.469	0.439	0.525	абстракція
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурдність
abundance	0.812	0.690	0.852	достаток
abundant	0.958	0.590	0.760	рясні
abuse	0.071	0.873	0.469	зловживання
abused	0.021	0.874	0.235	зловживали
abusive	0.125	0.903	0.567	образливий
abutment	0.500	0.265	0.616	абатмент
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	безодні
abyss	0.353	0.725	0.296	безодня
academic	0.781	0.420	0.812	академічний
academy	0.704	0.473	0.792	академії
accede	0.698	0.510	0.537	приєднатися
accelerant	0.643	0.844	0.802	прискорювач
accelerate	0.615	0.902	0.759	прискорити
accelerated	0.610	0.812	0.682	прискорений
acceleration	0.704	0.905	0.843	прискорення
accelerator	0.593	0.830	0.812	прискорювач
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	акцентувати
accept	0.847	0.286	0.565	прийняти
acceptable	0.812	0.286	0.583	прийнятний
acceptance	0.833	0.287	0.755	прийняття
acceptances	0.847	0.413	0.648	акцепти
access	0.714	0.472	0.567	доступу
accessible	0.796	0.410	0.645	доступний
accession	0.612	0.383	0.636	приєднання
accessory	0.562	0.292	0.445	аксесуар
accident	0.125	0.908	0.336	нещасний випадок
accidental	0.319	0.784	0.307	випадковий
accidentally	0.333	0.741	0.333	випадково
acclaim	0.562	0.809	0.718	визнання
accolade	0.688	0.591	0.775	нагорода
accommodate	0.844	0.375	0.566	розмістити
accommodation	0.817	0.415	0.587	проживання
accompaniment	0.740	0.479	0.695	супровід
accompany	0.833	0.406	0.585	супроводжувати
accompanying	0.787	0.460	0.582	супроводжуючий
accomplice	0.408	0.580	0.510	співучасник
accomplish	0.929	0.673	0.816	виконати
accomplished	0.870	0.520	0.798	виконано
accomplishment	0.917	0.694	0.888	досягнення
accord	0.898	0.264	0.382	згода
accordance	0.659	0.349	0.600	відповідність
accordion	0.604	0.490	0.361	акордеон
account	0.531	0.347	0.472	рахунок
accountability	0.755	0.537	0.833	звітність
accountable	0.709	0.282	0.777	підзвітний
accountant	0.625	0.450	0.639	бухгалтер
accounting	0.552	0.390	0.677	облік
accounts	0.592	0.340	0.471	облікові записи
accredited	0.669	0.479	0.768	акредитований
accretion	0.448	0.519	0.672	нарощення
accrue	0.520	0.481	0.602	нараховувати
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	накопичувати
accumulation	0.479	0.527	0.600	накопичення
accuracy	0.604	0.481	0.802	точність
accurate	0.743	0.360	0.737	точні
accursed	0.135	0.745	0.345	проклятий
accusation	0.073	0.718	0.564	звинувачення
accusative	0.198	0.755	0.482	знахідний
accuse	0.133	0.752	0.500	звинувачувати
accused	0.130	0.670	0.420	обвинувачений
accuser	0.122	0.779	0.615	обвинувач
accusing	0.156	0.745	0.324	звинувачення
accustomed	0.542	0.365	0.441	звикли
ace	0.643	0.481	0.546	туз
acetic	0.333	0.420	0.519	оцтова
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	біль
achieve	0.816	0.545	0.843	досягти
achieved	0.896	0.519	0.775	досягнуто
achievement	0.896	0.808	0.759	досягнення
aching	0.053	0.880	0.348	ниючий
achy	0.167	0.840	0.373	болить
acid	0.265	0.642	0.566	кислота
acidity	0.156	0.663	0.360	кислотність
acknowledge	0.786	0.370	0.661	визнати
acknowledged	0.714	0.443	0.765	визнав
acknowledgement	0.819	0.539	0.830	підтвердження
acknowledgment	0.796	0.528	0.777	підтвердження
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	акне
acorn	0.448	0.198	0.192	жолудь
acoustic	0.542	0.462	0.536	акустичний
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	познайомити
acquaintance	0.656	0.290	0.670	знайомство
acquainted	0.906	0.358	0.632	знайомий
acquiescence	0.542	0.480	0.554	мовчазне погодження
acquire	0.833	0.468	0.700	придбати
acquiring	0.735	0.510	0.817	придбання
acquisition	0.698	0.509	0.736	придбання
acquisitions	0.773	0.660	0.790	придбання
acquit	0.583	0.571	0.611	виправдовувати
acquittal	0.760	0.497	0.700	виправдувальний вирок
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	площа в акрах
acres	0.510	0.363	0.500	акрів
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрилові
act	0.656	0.704	0.735	діяти
acting	0.698	0.643	0.500	діючий
action	0.760	0.898	0.802	дію
action figure	0.615	0.774	0.611	фігурка
actionable	0.673	0.702	0.613	дієві
activate	0.764	0.650	0.806	активувати
activation	0.781	0.800	0.754	активація
active	0.847	0.730	0.731	активний
activist	0.531	0.653	0.877	активіст
activity	0.701	0.660	0.807	діяльність
actor	0.653	0.561	0.629	актор
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	фактичний
actuality	0.750	0.464	0.600	актуальність
actuary	0.510	0.404	0.491	актуарій
acuity	0.469	0.378	0.741	гострота
acumen	0.564	0.660	0.679	кмітливість
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	гострий
acutely	0.417	0.543	0.491	гостро
ad	0.521	0.705	0.558	оголошення
adage	0.517	0.415	0.566	приказка
adamant	0.344	0.529	0.575	непохитний
adapt	0.740	0.355	0.551	адаптуватися
adaptable	0.735	0.423	0.641	адаптований
adaptation	0.663	0.365	0.609	адаптація
add	0.728	0.490	0.554	додати
added	0.562	0.405	0.509	додано
addendum	0.392	0.370	0.418	додаток
adder	0.388	0.461	0.588	суматор
addict	0.075	0.696	0.327	наркоман
addicted	0.156	0.712	0.483	залежний
addiction	0.180	0.806	0.420	залежність
addictive	0.302	0.683	0.472	викликає звикання
addition	0.562	0.373	0.471	додаток
additional	0.673	0.462	0.526	додатковий
additive	0.561	0.633	0.691	добавка
address	0.650	0.327	0.567	адресу
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	адреси
adept	0.594	0.539	0.789	адепт
adequacy	0.615	0.435	0.702	адекватність
adequate	0.854	0.264	0.705	адекватний
adhere	0.633	0.339	0.554	дотримуватися
adherence	0.760	0.307	0.630	прихильність
adherent	0.561	0.385	0.555	прихильник
adhering	0.612	0.561	0.537	дотримуючись
adhesion	0.521	0.445	0.586	адгезія
adhesive	0.604	0.350	0.413	клей
adieu	0.250	0.471	0.342	прощавай
adipose	0.333	0.350	0.391	жировий
adjacency	0.365	0.417	0.375	суміжність
adjacent	0.645	0.276	0.536	суміжні
adjective	0.570	0.316	0.569	прикметник
adjoining	0.520	0.400	0.393	примикання
adjourn	0.385	0.456	0.475	відкласти
adjournment	0.438	0.510	0.370	відстрочка
adjudicate	0.559	0.520	0.683	судити
adjudication	0.551	0.462	0.691	винесення судового рішення
adjunct	0.459	0.440	0.426	придатковий
adjust	0.647	0.327	0.638	налаштувати
adjuster	0.510	0.540	0.760	регулятор
adjustment	0.590	0.520	0.661	коригування
adjuvant	0.510	0.500	0.456	ад'ювант
admin	0.688	0.420	0.854	адмін
administer	0.635	0.425	0.860	адмініструвати
administration	0.625	0.404	0.786	адміністрування
administrative	0.542	0.415	0.579	адміністративний
administrator	0.538	0.480	0.902	адміністратор
admirable	0.929	0.600	0.870	гідний захоплення
admiral	0.844	0.490	0.847	адмірал
admiralty	0.594	0.547	0.733	адміралтейство
admiration	0.969	0.583	0.726	захоплення
admire	0.867	0.692	0.704	захоплюватися
admired	0.917	0.560	0.815	захоплювався
admirer	0.796	0.720	0.650	шанувальник
admiring	0.867	0.578	0.629	милуючись
admissibility	0.802	0.580	0.602	допустимість
admissible	0.780	0.528	0.642	припустимий
admission	0.802	0.415	0.732	прийом
admit	0.538	0.423	0.667	визнати
admittance	0.690	0.451	0.598	допуск
admitted	0.720	0.490	0.767	зізнався
admitting	0.620	0.500	0.546	допускаючи
admixture	0.450	0.375	0.438	домішка
admonition	0.357	0.606	0.455	застереження
ado	0.520	0.423	0.385	шум
adobe	0.500	0.319	0.328	глинобитний
adolescence	0.487	0.694	0.444	підлітковий вік
adolescent	0.781	0.680	0.509	підліток
adopt	0.694	0.612	0.701	прийняти
adoption	0.625	0.566	0.589	усиновлення
adoptive	0.531	0.469	0.520	прийомний
adorable	0.969	0.519	0.457	чарівний
adoration	0.885	0.699	0.708	обожнювання
adore	0.854	0.438	0.657	обожнюю
adoring	0.885	0.620	0.717	обожнюючи
adorn	0.910	0.424	0.482	прикрашати
adornment	0.918	0.373	0.377	прикраса
adrenalin	0.865	0.920	0.786	адреналін
adrenaline	0.765	0.965	0.825	адреналін
adrift	0.398	0.486	0.230	дрейфувати
adult	0.815	0.491	0.787	дорослий
adulterated	0.188	0.865	0.370	фальсифікований
adulterer	0.229	0.814	0.407	перелюбник
adultery	0.120	0.922	0.510	подружня зрада
adulthood	0.541	0.454	0.652	повноліття
advance	0.673	0.472	0.858	заздалегідь
advanced	0.844	0.623	0.797	просунутий
advancement	0.776	0.650	0.839	просування
advancing	0.929	0.608	0.812	просування вперед
advantage	0.917	0.548	0.859	перевага
advantageous	0.837	0.640	0.789	вигідно
advent	0.665	0.560	0.627	прихід
adventure	0.917	0.857	0.710	пригода
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	пригоди
adventurous	0.969	0.898	0.722	авантюрний
adversary	0.349	0.777	0.457	супротивник
adverse	0.323	0.610	0.385	несприятливий
adversity	0.276	0.760	0.538	нещастя
advertise	0.500	0.529	0.580	рекламувати
advertisement	0.600	0.566	0.539	реклама
advertising	0.622	0.608	0.632	реклама
adverts	0.551	0.500	0.595	оголошення
advice	0.698	0.408	0.688	поради
advisable	0.867	0.480	0.510	доцільно
advise	0.760	0.393	0.705	порадити
advised	0.823	0.330	0.509	радив
advisement	0.698	0.235	0.655	порада
adviser	0.745	0.362	0.705	радник
advisor	0.646	0.350	0.689	радник
advisory	0.656	0.429	0.633	консультативний
advocacy	0.500	0.646	0.731	адвокація
advocate	0.551	0.530	0.818	адвокат
aegis	0.490	0.439	0.462	егіда
aeration	0.550	0.500	0.433	аерація
aerial	0.615	0.461	0.463	повітряний
aerobics	0.708	0.771	0.627	аеробіка
aerodrome	0.541	0.740	0.678	аеродром
aerodynamic	0.561	0.724	0.728	аеродинамічний
aerodynamics	0.590	0.663	0.722	аеродинаміка
aeronautics	0.551	0.633	0.688	повітроплавання
aeroplane	0.714	0.642	0.644	літак
aerospace	0.643	0.520	0.779	аерокосмічний
aesthetic	0.708	0.442	0.526	естетичний
aesthetics	0.847	0.327	0.549	естетичність
aetiology	0.480	0.398	0.615	етіологія
afar	0.396	0.373	0.358	здалеку
affable	0.704	0.380	0.452	привітний
affair	0.520	0.459	0.657	роман
affect	0.458	0.569	0.578	впливати
affecting	0.350	0.574	0.394	впливають
affection	0.898	0.559	0.696	прихильність
affectionate	0.949	0.422	0.550	ласкавий
affections	0.760	0.547	0.655	прихильності
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	афідевіт
affiliated	0.673	0.519	0.535	афілійовані
affiliation	0.615	0.594	0.500	приналежність
affinity	0.800	0.500	0.537	спорідненість
affirm	0.745	0.509	0.731	стверджувати
affirmation	0.750	0.500	0.689	афірмація
affirmative	0.854	0.589	0.816	стверджувальний
affirmatively	0.908	0.500	0.811	ствердно
affix	0.438	0.335	0.411	афікс
afflict	0.302	0.555	0.293	страждати
afflicted	0.271	0.500	0.167	уражений
affliction	0.294	0.635	0.392	страждання
affluence	0.663	0.618	0.722	достаток
affluent	0.756	0.388	0.477	заможний
afford	0.571	0.580	0.575	дозволити собі
affordable	0.840	0.398	0.493	доступний
affront	0.327	0.740	0.547	образа
affronted	0.385	0.750	0.527	ображений
afield	0.594	0.370	0.373	поза межами
afire	0.367	0.904	0.675	вогонь
afloat	0.602	0.427	0.444	на плаву
afore	0.500	0.337	0.382	раніше
aforementioned	0.490	0.316	0.408	вищезгаданий
aforesaid	0.531	0.358	0.478	вищесказане
afraid	0.010	0.775	0.245	боїться
afresh	0.643	0.521	0.480	заново
aft	0.480	0.417	0.518	корма
afterlife	0.571	0.567	0.568	загробне життя
aftermath	0.312	0.449	0.444	наслідки
afternoon	0.533	0.388	0.339	полудень
aftershave	0.406	0.384	0.415	засіб після гоління
aftertaste	0.354	0.362	0.455	післясмак
afterthought	0.396	0.392	0.349	заднім числом
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	вік
aged	0.135	0.365	0.236	у віці
agency	0.460	0.296	0.583	агентство
agenda	0.531	0.296	0.553	порядок денний
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерація
aggravate	0.224	0.770	0.464	загострювати
aggravated	0.079	0.760	0.430	загострюється
aggravates	0.108	0.778	0.357	посилює
aggravating	0.257	0.794	0.640	обтяжуючий
aggravation	0.071	0.784	0.613	загострення
aggregate	0.730	0.378	0.556	агрегатний
aggregation	0.583	0.517	0.694	агрегація
aggresive	0.059	0.971	0.639	агресивний
aggression	0.094	0.929	0.533	агресія
aggressive	0.125	0.949	0.648	агресивний
aggressively	0.250	0.926	0.688	агресивно
aggressiveness	0.077	0.913	0.648	агресивність
aggressor	0.146	0.948	0.823	агресор
agh	0.260	0.500	0.400	ага
aghast	0.133	0.865	0.464	приголомшений
aghhh	0.281	0.635	0.243	агахх
agile	0.800	0.657	0.775	спритний
agility	0.720	0.702	0.815	спритність
aging	0.214	0.255	0.284	старіння
agitate	0.300	0.796	0.593	агітувати
agitated	0.444	0.882	0.491	схвильований
agitation	0.240	0.931	0.447	агітація
aglow	0.780	0.510	0.797	палаючий
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	тому
agonizing	0.083	0.800	0.340	болісно
agony	0.083	0.775	0.393	агонія
agoraphobia	0.127	0.712	0.438	агорафобія
agree	0.906	0.260	0.545	згоден
agreeable	0.906	0.500	0.696	приємний
agreed	0.797	0.449	0.574	погодився
agreeing	0.854	0.480	0.557	погоджуючись
agreement	0.760	0.440	0.736	Угода
agressive	0.083	0.918	0.751	агресивний
agricultural	0.686	0.321	0.473	сільськогосподарський
agriculture	0.640	0.357	0.465	сільське господарство
aground	0.333	0.340	0.445	на мілині
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	попереду
ahhh	0.562	0.517	0.241	аххх
ahhhhhhhh	0.552	0.649	0.288	ахххххххх
ahoy	0.500	0.497	0.380	привіт
aid	0.796	0.491	0.541	допомога
aide	0.724	0.342	0.434	помічник
aiding	0.643	0.533	0.569	допомога
aids	0.561	0.480	0.500	СНІД
ail	0.375	0.434	0.385	хворий
ailing	0.094	0.518	0.153	хворий
ailment	0.146	0.734	0.277	нездужання
aim	0.481	0.569	0.567	мета
aimless	0.150	0.267	0.183	безцільний
air	0.708	0.163	0.427	повітря
airbag	0.510	0.402	0.433	подушка безпеки
airborne	0.542	0.519	0.385	повітряно-десантний
aircraft	0.646	0.644	0.691	літак
aircraft carrier	0.490	0.740	0.727	авіаносець
airfield	0.601	0.650	0.645	аеродром
airhead	0.271	0.481	0.276	повітряна головка
airlift	0.573	0.622	0.642	ерліфт
airline	0.650	0.482	0.688	авіакомпанія
airliner	0.667	0.777	0.647	авіалайнер
airlock	0.398	0.520	0.447	повітряний шлюз
airman	0.587	0.716	0.721	льотчик
airplane	0.719	0.702	0.708	літак
airport	0.729	0.684	0.682	аеропорт
airs	0.583	0.196	0.370	ефіри
airship	0.542	0.472	0.529	дирижабль
airspace	0.562	0.510	0.640	повітряний простір
airspeed	0.583	0.780	0.544	повітряна швидкість
airstrip	0.550	0.690	0.649	злітно-посадкова смуга
airtight	0.479	0.381	0.570	герметичні
airway	0.638	0.585	0.482	дихальні шляхи
aisle	0.438	0.222	0.283	прохід
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	прочинений
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	споріднений
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	тривога
alarm clock	0.542	0.727	0.642	будильник
alarmed	0.188	0.822	0.492	стривожений
alarming	0.204	0.890	0.585	тривожний
alas	0.571	0.310	0.279	нажаль
alb	0.521	0.380	0.427	алб
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбінос
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхімія
alcohol	0.323	0.667	0.377	алкоголь
alcoholic	0.153	0.688	0.361	алкоголік
alcoholism	0.061	0.779	0.407	алкоголізм
alcove	0.490	0.340	0.356	альков
alderman	0.550	0.459	0.691	олдерман
ale	0.530	0.450	0.358	ель
alert	0.479	0.820	0.648	оповіщення
alertness	0.375	0.875	0.750	пильність
alerts	0.337	0.804	0.673	оповіщення
alfalfa	0.546	0.250	0.311	люцерна
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебраїчні
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	псевдонім
alibi	0.396	0.528	0.556	алібі
alien	0.410	0.615	0.491	інопланетянин
alienate	0.247	0.500	0.523	відчужувати
alienated	0.410	0.423	0.559	відчужені
alienation	0.378	0.530	0.462	відчуження
alight	0.667	0.657	0.605	горить
align	0.656	0.364	0.627	вирівняти
aligned	0.583	0.275	0.553	вирівняні
alignment	0.643	0.412	0.683	вирівнювання
alike	0.653	0.173	0.444	однакові
alimentation	0.781	0.551	0.602	харчування
alimony	0.612	0.477	0.464	аліменти
aliquot	0.440	0.310	0.404	аліквота
alive	0.816	0.637	0.731	живий
alkali	0.490	0.350	0.408	луг
alkaloids	0.433	0.562	0.402	алкалоїди
allay	0.417	0.406	0.398	розвіяти
allegation	0.578	0.578	0.608	звинувачення
allege	0.418	0.482	0.587	стверджувати
alleged	0.365	0.522	0.520	нібито
allegiance	0.917	0.398	0.750	вірність
allegorical	0.517	0.558	0.598	алегоричний
allegory	0.615	0.580	0.509	алегорія
allegro	0.635	0.627	0.453	алегро
allergic	0.135	0.549	0.273	алергічний
allergy	0.296	0.606	0.389	алергія
alleviate	0.869	0.270	0.528	полегшити
alleviation	0.735	0.200	0.491	полегшення
alley	0.347	0.500	0.355	алея
alleyway	0.357	0.471	0.382	алея
alliance	0.696	0.473	0.769	альянс
allied	0.714	0.245	0.642	союзні
alligator	0.354	0.704	0.645	алігатор
allocate	0.673	0.462	0.672	виділяти
allocation	0.604	0.388	0.679	виділення
allot	0.622	0.481	0.616	виділяти
allotment	0.600	0.390	0.640	наділ
allow	0.698	0.429	0.538	дозволяють
allowable	0.698	0.500	0.561	допустимо
allowance	0.673	0.382	0.591	надбавка
allowed	0.730	0.360	0.655	дозволено
alloy	0.583	0.443	0.593	сплав
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	привабливість
alluring	0.837	0.745	0.843	привабливий
allusion	0.440	0.308	0.462	алюзія
alluvial	0.323	0.490	0.491	алювіальний
ally	0.792	0.320	0.688	союзник
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	всемогутній
almond	0.698	0.183	0.314	мигдаль
aloft	0.771	0.373	0.700	нагорі
aloha	0.698	0.440	0.441	алоха
alone	0.333	0.167	0.216	поодинці
alongside	0.458	0.333	0.347	поряд
aloof	0.189	0.423	0.302	осторонь
