English Word	Valence	Arousal	Dominance	Nepali Word
aaaaaaah	0.479	0.606	0.291	आआआआह
aaaah	0.520	0.636	0.282	आआह
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	अचम्म
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	त्याग्नु
abandoned	0.046	0.481	0.130	त्यागिएको
abandonment	0.128	0.430	0.202	परित्याग
abashed	0.177	0.644	0.307	अपमानित
abate	0.255	0.696	0.604	कम गर्नुहोस्
abatement	0.388	0.338	0.336	कमी
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	अबे
abbot	0.427	0.321	0.483	मठाधीश
abbreviate	0.531	0.375	0.330	संक्षिप्त
abbreviation	0.469	0.306	0.345	संक्षिप्त नाम
abdomen	0.469	0.462	0.471	पेट
abdominal	0.490	0.456	0.445	पेट
abduct	0.173	0.720	0.615	अपहरण
abduction	0.062	0.990	0.673	अपहरण
aberrant	0.146	0.765	0.431	विपरित
aberration	0.125	0.816	0.417	विकृति
abeyance	0.330	0.510	0.292	स्थगन
abhor	0.125	0.602	0.349	घृणा
abhorrence	0.167	0.684	0.420	घृणा
abhorrent	0.229	0.750	0.474	घृणित
abide	0.635	0.354	0.705	पालना
abiding	0.796	0.327	0.750	पालन गर्ने
ability	0.875	0.510	0.816	क्षमता
abject	0.354	0.590	0.417	घृणित
ablation	0.418	0.500	0.500	उन्मूलन
ablaze	0.240	0.847	0.525	आगो
able	0.786	0.500	0.810	सक्षम
abnormal	0.137	0.604	0.309	असामान्य
abnormality	0.092	0.655	0.383	असामान्यता
aboard	0.698	0.284	0.481	जहाजमा
abode	0.620	0.302	0.500	निवास
abolish	0.448	0.615	0.529	समाप्त गर्न्
abolition	0.323	0.690	0.529	उन्मूलन
abominable	0.120	0.731	0.482	घृणित
abominate	0.198	0.788	0.366	घृणित
abomination	0.078	0.755	0.518	घृणित कुरा
aboriginal	0.448	0.427	0.542	आदिवासी
abort	0.153	0.686	0.429	परित्याग
abortion	0.082	0.770	0.283	गर्भपतन
abortive	0.090	0.776	0.280	गर्भपतन गर्ने
abound	0.704	0.490	0.681	प्रशस्त
abovementioned	0.541	0.298	0.509	माथि उल्लेखित
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	घर्षण
abrasive	0.392	0.610	0.593	घर्षण
abreast	0.635	0.380	0.519	छेउमा
abroad	0.677	0.596	0.561	विदेशमा
abrogate	0.327	0.510	0.594	रद्द गर्नुहोस्
abrupt	0.271	0.819	0.545	अचानक
abruptly	0.250	0.808	0.556	अचानक
abscess	0.154	0.451	0.349	फोड़ा
absence	0.153	0.235	0.266	अनुपस्थिति
absent	0.177	0.221	0.116	अनुपस्थित
absentee	0.235	0.330	0.279	अनुपस्थित
absenteeism	0.404	0.273	0.357	अनुपस्थिति
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	निरपेक्ष
absolution	0.715	0.500	0.664	मुक्ति
absolve	0.684	0.449	0.660	उन्मूलन
absorb	0.469	0.558	0.670	अवशोषित
absorbed	0.490	0.471	0.519	अवशोषित
absorbent	0.552	0.394	0.718	शोषक
absorbing	0.490	0.490	0.578	अवशोषित
absorption	0.609	0.422	0.446	अवशोषण
abstain	0.385	0.385	0.427	परहेज
abstention	0.271	0.264	0.509	परित्याग
abstinence	0.260	0.392	0.429	परहेज
abstract	0.438	0.292	0.444	सार
abstraction	0.469	0.439	0.525	अमूर्तता
absurd	0.188	0.656	0.284	बेतुका
absurdity	0.115	0.528	0.227	मूर्खता
abundance	0.812	0.690	0.852	प्रचुरता
abundant	0.958	0.590	0.760	प्रचुर मात्रामा
abuse	0.071	0.873	0.469	दुरुपयोग
abused	0.021	0.874	0.235	दुर्व्यवहार गरेको
abusive	0.125	0.903	0.567	अपमानजनक
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	अथाह
abyss	0.353	0.725	0.296	रसातल
academic	0.781	0.420	0.812	शैक्षिक
academy	0.704	0.473	0.792	एकेडेमी
accede	0.698	0.510	0.537	स्वीकार
accelerant	0.643	0.844	0.802	गतिवर्धक
accelerate	0.615	0.902	0.759	गति दिनु
accelerated	0.610	0.812	0.682	द्रुत
acceleration	0.704	0.905	0.843	प्रवेग
accelerator	0.593	0.830	0.812	गतिवर्धक
accent	0.598	0.357	0.509	उच्चारण
accentuate	0.673	0.556	0.667	जोड दिनुहोस्
accept	0.847	0.286	0.565	स्वीकार गर्नुहोस्
acceptable	0.812	0.286	0.583	स्वीकार्य
acceptance	0.833	0.287	0.755	स्वीकृति
acceptances	0.847	0.413	0.648	स्वीकृतिहरू
access	0.714	0.472	0.567	पहुँच
accessible	0.796	0.410	0.645	पहुँचयोग्य
accession	0.612	0.383	0.636	प्रवेश
accessory	0.562	0.292	0.445	सहायक
accident	0.125	0.908	0.336	दुर्घटना
accidental	0.319	0.784	0.307	आकस्मिक
accidentally	0.333	0.741	0.333	संयोगवश
acclaim	0.562	0.809	0.718	प्रशंसा
accolade	0.688	0.591	0.775	प्रशंसा
accommodate	0.844	0.375	0.566	समायोजन
accommodation	0.817	0.415	0.587	आवास
accompaniment	0.740	0.479	0.695	संगत
accompany	0.833	0.406	0.585	साथ दिने
accompanying	0.787	0.460	0.582	साथमा रहेका
accomplice	0.408	0.580	0.510	सहयोगी
accomplish	0.929	0.673	0.816	पूरा गर्ने
accomplished	0.870	0.520	0.798	पूरा भयो
accomplishment	0.917	0.694	0.888	उपलब्धि
accord	0.898	0.264	0.382	सम्झौता
accordance	0.659	0.349	0.600	अनुसार
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	खाता
accountability	0.755	0.537	0.833	जवाफदेहिता
accountable	0.709	0.282	0.777	जवाफदेही
accountant	0.625	0.450	0.639	लेखापाल
accounting	0.552	0.390	0.677	लेखा
accounts	0.592	0.340	0.471	खाताहरू
accredited	0.669	0.479	0.768	मान्यता प्राप्त
accretion	0.448	0.519	0.672	वृद्धि
accrue	0.520	0.481	0.602	जम्मा गर्ने
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	जम्मा गर्ने
accumulation	0.479	0.527	0.600	संचय
accuracy	0.604	0.481	0.802	शुद्धता
accurate	0.743	0.360	0.737	सही
accursed	0.135	0.745	0.345	शापित
accusation	0.073	0.718	0.564	आरोप
accusative	0.198	0.755	0.482	आरोप लगाउने
accuse	0.133	0.752	0.500	आरोप लगाउनु
accused	0.130	0.670	0.420	आरोपित
accuser	0.122	0.779	0.615	आरोप लगाउने
accusing	0.156	0.745	0.324	आरोप लगाउँदै
accustomed	0.542	0.365	0.441	अभ्यस्त
ace	0.643	0.481	0.546	ऐस
acetic	0.333	0.420	0.519	एसिटिक
acetylene	0.306	0.469	0.509	एसिटिलीन
ache	0.146	0.760	0.312	दुखाइ
achieve	0.816	0.545	0.843	हासिल गर्ने
achieved	0.896	0.519	0.775	पाएको
achievement	0.896	0.808	0.759	उपलब्धि
aching	0.053	0.880	0.348	दुख्ने
achy	0.167	0.840	0.373	दुखाइ
acid	0.265	0.642	0.566	एसिड
acidity	0.156	0.663	0.360	अम्लता
acknowledge	0.786	0.370	0.661	स्वीकार
acknowledged	0.714	0.443	0.765	स्वीकार गरियो
acknowledgement	0.819	0.539	0.830	स्वीकृति
acknowledgment	0.796	0.528	0.777	स्वीकृति
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	मुँहासे
acorn	0.448	0.198	0.192	एकोर्न
acoustic	0.542	0.462	0.536	ध्वनिक
acoustics	0.611	0.330	0.509	ध्वनिकी
acquaint	0.646	0.491	0.639	परिचित
acquaintance	0.656	0.290	0.670	परिचित
acquainted	0.906	0.358	0.632	परिचित
acquiescence	0.542	0.480	0.554	सहमति
acquire	0.833	0.468	0.700	प्राप्त गर्ने
acquiring	0.735	0.510	0.817	प्राप्त गर्दै
acquisition	0.698	0.509	0.736	अधिग्रहण
acquisitions	0.773	0.660	0.790	अधिग्रहणहरू
acquit	0.583	0.571	0.611	निर्दोष
acquittal	0.760	0.497	0.700	निर्दोष
acre	0.583	0.387	0.423	एकर
acreage	0.741	0.450	0.528	क्षेत्रफल
acres	0.510	0.363	0.500	एकड
acrobat	0.708	0.828	0.602	एक्रोबेट
acrylic	0.582	0.279	0.420	एक्रिलिक
act	0.656	0.704	0.735	कार्य
acting	0.698	0.643	0.500	अभिनय
action	0.760	0.898	0.802	कार्य
action figure	0.615	0.774	0.611	कार्य चित्र
actionable	0.673	0.702	0.613	कारबाही योग्य
activate	0.764	0.650	0.806	सक्रिय गर्नुहोस्
activation	0.781	0.800	0.754	सक्रियता
active	0.847	0.730	0.731	सक्रिय
activist	0.531	0.653	0.877	कार्यकर्ता
activity	0.701	0.660	0.807	गतिविधि
actor	0.653	0.561	0.629	अभिनेता
actress	0.633	0.556	0.596	अभिनेत्री
actual	0.729	0.400	0.716	वास्तविक
actuality	0.750	0.464	0.600	वास्तविकता
actuary	0.510	0.404	0.491	वास्तविक
acuity	0.469	0.378	0.741	तीक्ष्णता
acumen	0.564	0.660	0.679	कुशाग्रता
acupuncture	0.531	0.324	0.549	एक्यूपंक्चर
acute	0.427	0.652	0.534	तीव्र
acutely	0.417	0.543	0.491	तीव्र रूपमा
ad	0.521	0.705	0.558	विज्ञापन
adage	0.517	0.415	0.566	कहावत
adamant	0.344	0.529	0.575	अडिग
adapt	0.740	0.355	0.551	अनुकूल
adaptable	0.735	0.423	0.641	अनुकूलन योग्य
adaptation	0.663	0.365	0.609	अनुकूलन
add	0.728	0.490	0.554	थप्नुहोस्
added	0.562	0.405	0.509	थपियो
addendum	0.392	0.370	0.418	परिशिष्ट
adder	0.388	0.461	0.588	योजक
addict	0.075	0.696	0.327	लत
addicted	0.156	0.712	0.483	आदी
addiction	0.180	0.806	0.420	लत
addictive	0.302	0.683	0.472	लत
addition	0.562	0.373	0.471	थप
additional	0.673	0.462	0.526	अतिरिक्त
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	ठेगाना
addressee	0.622	0.382	0.538	सम्बोधनकर्ता
addresses	0.510	0.354	0.450	ठेगानाहरू
adept	0.594	0.539	0.789	निपुण
adequacy	0.615	0.435	0.702	पर्याप्तता
adequate	0.854	0.264	0.705	पर्याप्त
adhere	0.633	0.339	0.554	पालन
adherence	0.760	0.307	0.630	पालना
adherent	0.561	0.385	0.555	अनुयायी
adhering	0.612	0.561	0.537	पालन गर्दै
adhesion	0.521	0.445	0.586	आसंजन
adhesive	0.604	0.350	0.413	टाँस्ने
adieu	0.250	0.471	0.342	बिदाइ
adipose	0.333	0.350	0.391	वसा
adjacency	0.365	0.417	0.375	आसन्नता
adjacent	0.645	0.276	0.536	छेउछाउ
adjective	0.570	0.316	0.569	विशेषण
adjoining	0.520	0.400	0.393	आसन्न
adjourn	0.385	0.456	0.475	स्थगित
adjournment	0.438	0.510	0.370	स्थगित
adjudicate	0.559	0.520	0.683	न्याय गर्ने
adjudication	0.551	0.462	0.691	निर्णय
